metal,buffer_km,climate_metric,CPWE_after_observed_upgrade,production_HHI,GLI_after_observed_upgrade,observed_or_background_share,fallback_share,t1_coverage_gate,top_country,top_country_contribution,top_country_source_tier,claim_use,rank_by_CPWE_after_upgrade,rank_by_GLI_after_upgrade,panel,top_cpwe_rank,coverage_pass,top_country_decomposition,shuffle_support,loo_support
Copper,50.0,dry_15d_low_q05,0.3052573269046034,0.1207361606805292,0.036855597670063,0.8523043478260867,0.1482608695652172,pass,Chile,0.1265360269484594,current_same_metal_country,main_candidate_if_controls_survive,1.0,3.0,a_cpwe,,,,,
Lead,50.0,dry_15d_low_q05,0.2224438018770531,0.2190222222222221,0.0487201358066718,0.2999999999999998,0.6955555555555551,fail,China,0.0991358132893964,same_metal_observed_country_fallback,coverage_warning_or_atlas_only,2.0,1.0,a_cpwe,,,,,
Zinc,50.0,dry_15d_low_q05,0.2070257732095209,0.1579976331360946,0.0327095821652742,0.3499999999999998,0.6146153846153843,fail,China,0.0687108277329046,same_metal_observed_country_fallback,coverage_warning_or_atlas_only,3.0,5.0,a_cpwe,,,,,
Tin,50.0,dry_15d_low_q05,0.1967271954782322,0.1436717003567181,0.028264130680766,0.6068965517241376,0.3968965517241375,fail,China,0.0695598314282126,same_metal_observed_country_fallback,coverage_warning_or_atlas_only,4.0,6.0,a_cpwe,,,,,
Aluminium,50.0,dry_15d_low_q05,0.1612030711608298,0.2144228388429751,0.0345656201485112,0.3181818181818181,0.6839999999999994,fail,Guinea,0.0596450046802214,same_metal_observed_country_fallback,coverage_warning_or_atlas_only,5.0,4.0,a_cpwe,,,,,
Nickel,50.0,dry_15d_low_q05,0.0891830803900798,0.4613823142669296,0.0411474960238286,0.8038461538461535,0.192307692307692,pass,Indonesia,0.0395007623666573,country_mining_background,main_candidate_if_controls_survive,6.0,2.0,a_cpwe,,,,,
Copper,100.0,dry_15d_low_q05,0.2881109956528177,0.1207361606805292,0.0347854154649658,0.8701304347826083,0.1304347826086956,pass,Chile,0.112532565515649,current_same_metal_country,main_candidate_if_controls_survive,1.0,2.0,a_cpwe,,,,,
Lead,100.0,dry_15d_low_q05,0.2226765580699495,0.2190222222222221,0.048771114585276,0.2999999999999998,0.6955555555555551,fail,China,0.0983988150806485,same_metal_observed_country_fallback,coverage_warning_or_atlas_only,2.0,1.0,a_cpwe,,,,,
Zinc,100.0,dry_15d_low_q05,0.210113045351645,0.1579976331360946,0.0331973638565768,0.3499999999999998,0.6146153846153843,fail,China,0.0686408709975114,same_metal_observed_country_fallback,coverage_warning_or_atlas_only,3.0,3.0,a_cpwe,,,,,
Tin,100.0,dry_15d_low_q05,0.1942662544760162,0.1436717003567181,0.0279105631025001,0.6068965517241376,0.3968965517241375,fail,China,0.0683402312022628,same_metal_observed_country_fallback,coverage_warning_or_atlas_only,4.0,6.0,a_cpwe,,,,,
