metal,country,country_norm,buffer_km,production,production_unit,year,global_share,country_exposure,dry_15d_low_q05_exposure,exposure_source_tier,source_tier_rank,is_observed_same_metal,is_observed_country_background,is_fallback,same_metal_node_count,background_layer,contribution,claim_use,source_note,previous_country_exposure,previous_exposure_source_tier,upgrade_applied,panel,cum_share
Copper,Chile,Chile,100,5300.0,thousand metric tons,2025,0.2304347826086956,0.4883488692188545,0.4883488692188545,current_same_metal_country,1,True,False,False,4,,0.112532565515649,main_case_current_proxy,Open mine production same-metal country exposure.,0.4883488692188545,current_same_metal_country,False,a_three_track,
Copper,Congo (Kinshasa),Congo (Kinshasa),100,3200.0,thousand metric tons,2025,0.1391304347826087,0.3769586574607861,0.3769586574607861,current_same_metal_country,1,True,False,False,4,,0.0524464219075876,main_case_current_proxy,Open mine production same-metal country exposure.,0.3769586574607861,current_same_metal_country,False,a_three_track,
Copper,Peru,Peru,100,2700.0,thousand metric tons,2025,0.117391304347826,0.255490562951703,0.255490562951703,current_same_metal_country,1,True,False,False,3,,0.0299923704334607,main_case_current_proxy,Open mine production same-metal country exposure.,0.255490562951703,current_same_metal_country,False,a_three_track,
Copper,Other countries,Other countries,100,3000.0,thousand metric tons,2025,0.1304347826086956,0.2177673056119532,0.2177673056119532,aggregate_other_countries_fallback,6,False,False,True,0,,0.0284044311667764,coverage_fallback_not_direct_evidence,Aggregate MCS row; cannot be assigned to specific countries.,0.2177673056119532,aggregate_other_countries_fallback,False,a_three_track,
Copper,Zambia,Zambia,100,940.0,thousand metric tons,2025,0.0408695652173913,0.3723726753895511,0.3723726753895511,current_same_metal_country,1,True,False,False,3,,0.0152187093420077,main_case_current_proxy,Open mine production same-metal country exposure.,0.3723726753895511,current_same_metal_country,False,a_three_track,
Copper,China,China,100,1800.0,thousand metric tons,2025,0.0782608695652174,0.1348319191278683,0.1348319191278683,mrds_same_metal_country,2,True,False,False,180,,0.010552063236094,supplementary_historical_proxy_observed_upgrade,Observed CHIRPS country exposure from full MRDS Copper candidate points.,0.2328336637947785,same_metal_observed_country_fallback,True,a_three_track,
Copper,Australia,Australia,100,730.0,thousand metric tons,2025,0.0317391304347826,0.2404937697069301,0.2404937697069301,current_same_metal_country,1,True,False,False,2,,0.0076330631254808,main_case_current_proxy,Open mine production same-metal country exposure.,0.2404937697069301,current_same_metal_country,False,a_three_track,
Copper,Mexico,Mexico,100,690.0,thousand metric tons,2025,0.03,0.2367426688600256,0.2367426688600256,current_same_metal_country,1,True,False,False,4,,0.0071022800658007,main_case_current_proxy,Open mine production same-metal country exposure.,0.2367426688600256,current_same_metal_country,False,a_three_track,
Copper,Chile,Chile,50,5300.0,thousand metric tons,2025,0.2304347826086956,0.5491186075121828,0.5491186075121828,current_same_metal_country,1,True,False,False,4,,0.1265360269484594,main_case_current_proxy,Open mine production same-metal country exposure.,0.5491186075121828,current_same_metal_country,False,b_buffer_heatmap,
Copper,Congo (Kinshasa),Congo (Kinshasa),50,3200.0,thousand metric tons,2025,0.1391304347826087,0.3792763855578697,0.3792763855578697,current_same_metal_country,1,True,False,False,4,,0.0527688884254427,main_case_current_proxy,Open mine production same-metal country exposure.,0.3792763855578697,current_same_metal_country,False,b_buffer_heatmap,
