metal,buffer_km,removed_country,removed_country_norm,removed_country_share,removed_country_source_tier,original_CPWE,CPWE_without_country,relative_change,dominance_flag,control_type,control_name,observed_CPWE,null_mean,null_sd,null_percentile,empirical_p_upper,n_null,country_display,abs_effect,panel,control_family,code,color,authority_file
Copper,100,Chile,Chile,0.2304347826086956,current_same_metal_country,0.2881109956528177,0.2281967671257475,-0.2079553693926649,not_single_country_dominated_at_25pct,leave_one_country,,,,,,,,Chile,0.2079553693926649,a_leave_one_country_out,,,,
Copper,100,Congo (Kinshasa),Congo (Kinshasa),0.1391304347826087,current_same_metal_country,0.2881109956528177,0.2737611991663947,-0.0498064867462223,not_single_country_dominated_at_25pct,leave_one_country,,,,,,,,DR Congo,0.0498064867462223,a_leave_one_country_out,,,,
Copper,100,China,China,0.0782608695652174,mrds_same_metal_country,0.2881109956528177,0.3011172813146718,0.045143315798773,not_single_country_dominated_at_25pct,leave_one_country,,,,,,,,China,0.045143315798773,a_leave_one_country_out,,,,
Copper,100,Other countries,Other countries,0.1304347826086956,aggregate_other_countries_fallback,0.2881109956528177,0.2986556951043039,0.0365994342825877,not_single_country_dominated_at_25pct,leave_one_country,,,,,,,,Other,0.0365994342825877,a_leave_one_country_out,,,,
Copper,100,Peru,Peru,0.117391304347826,current_same_metal_country,0.2881109956528177,0.2924468972081276,0.015049413666026,not_single_country_dominated_at_25pct,leave_one_country,,,,,,,,Peru,0.015049413666026,a_leave_one_country_out,,,,
Copper,100,Zambia,Zambia,0.0408695652173913,current_same_metal_country,0.2881109956528177,0.2845226307294938,-0.0124548003285789,not_single_country_dominated_at_25pct,leave_one_country,,,,,,,,Zambia,0.0124548003285789,a_leave_one_country_out,,,,
Copper,100,Mexico,Mexico,0.03,current_same_metal_country,0.2881109956528177,0.2896987815905065,0.0055110216605622,not_single_country_dominated_at_25pct,leave_one_country,,,,,,,,Mexico,0.0055110216605622,a_leave_one_country_out,,,,
Copper,100,Australia,Australia,0.0317391304347826,current_same_metal_country,0.2881109956528177,0.2896709550362265,0.0054144389035696,not_single_country_dominated_at_25pct,leave_one_country,,,,,,,,Australia,0.0054144389035696,a_leave_one_country_out,,,,
Copper,50,,,,,,,,,production_share_shuffle,production_share_shuffle_after_observed_upgrade,0.3052573269046034,0.2312948767736642,0.0301140051837903,0.989002199560088,0.0111977604479104,5000.0,,,b_shuffle_null_summary,,,,
Copper,100,,,,,,,,,production_share_shuffle,production_share_shuffle_after_observed_upgrade,0.2881109956528177,0.2172895359653124,0.0282443425982612,0.9942011597680463,0.005998800239952,5000.0,,,b_shuffle_null_summary,,,,
Copper,200,,,,,,,,,production_share_shuffle,production_share_shuffle_after_observed_upgrade,0.2572577772411374,0.2035438411868886,0.0250930783788991,0.9846030793841232,0.0155968806238752,5000.0,,,b_shuffle_null_summary,,,,
,50,,,,,,,,,,,,,,,0.0111977604479104,,,,c_control_family_matrix,production_share_shuffle,A+,#7D3D16,Fig4_controls_source_data.csv
,100,,,,,,,,,,,,,,,0.005998800239952,,,,c_control_family_matrix,production_share_shuffle,A+,#7D3D16,Fig4_controls_source_data.csv
,200,,,,,,,,,,,,,,,0.0155968806238752,,,,c_control_family_matrix,production_share_shuffle,A+,#7D3D16,Fig4_controls_source_data.csv
,50,,,,,,,,,,,,,,,0.0059970014992503,,,,c_control_family_matrix,production_weight_shuffle,A+,#7D3D16,null_control_summary.csv
,100,,,,,,,,,,,,,,,0.0059970014992503,,,,c_control_family_matrix,production_weight_shuffle,A+,#7D3D16,null_control_summary.csv
,200,,,,,,,,,,,,,,,0.0174912543728135,,,,c_control_family_matrix,production_weight_shuffle,A+,#7D3D16,null_control_summary.csv
,50,,,,,,,,,,,,,,,0.0184907546226886,,,,c_control_family_matrix,commodity_label_shuffle,L+,#C07B2C,null_control_summary.csv
,100,,,,,,,,,,,,,,,0.0484757621189405,,,,c_control_family_matrix,commodity_label_shuffle,L+,#C07B2C,null_control_summary.csv
,200,,,,,,,,,,,,,,,0.096951524237881,,,,c_control_family_matrix,commodity_label_shuffle,L~,#DEB06C,null_control_summary.csv
,50,,,,,,,,,,,,,,,0.233383308345827,,,,c_control_family_matrix,country_constrained_null,R0,#3C6E9C,null_control_summary.csv
,100,,,,,,,,,,,,,,,0.2918540729635182,,,,c_control_family_matrix,country_constrained_null,R0,#3C6E9C,null_control_summary.csv
,200,,,,,,,,,,,,,,,0.4862568715642179,,,,c_control_family_matrix,country_constrained_null,R0,#3C6E9C,null_control_summary.csv
,50,,,,,,,,,,,,,,,0.0004997501249375,,,,c_control_family_matrix,mining_background_proxy_null,P+,#6F8FB0,null_control_summary.csv
,100,,,,,,,,,,,,,,,0.0004997501249375,,,,c_control_family_matrix,mining_background_proxy_null,P+,#6F8FB0,null_control_summary.csv
,200,,,,,,,,,,,,,,,0.0004997501249375,,,,c_control_family_matrix,mining_background_proxy_null,P+,#6F8FB0,null_control_summary.csv
